"","t_start","t_end","Mean(R)","Std(R)","Quantile.0.025(R)","Quantile.0.05(R)","Quantile.0.25(R)","Median(R)","Quantile.0.75(R)","Quantile.0.95(R)","Quantile.0.975(R)"
"1",2,8,5,5,0.126589039921449,0.256466471937753,1.4384103622589,3.46573590279973,6.93147180559945,14.97866136777,18.4443972705697
"2",3,9,15,8.66025403784439,3.09336061447801,4.08845723581977,8.6364970893026,13.3703015686178,19.6020103014628,31.4789681093599,36.1234383386198
"3",4,10,2.82844986294097,1.41422493147049,0.770657391664372,0.966140770505197,1.79275652646507,2.59655993044956,3.61293986750101,5.48270718593067,6.19944807811969
"4",5,11,1.76844979492304,0.884224897461521,0.4818430491208,0.604066372132954,1.12089662719974,1.62346376956258,2.25894149706015,3.42798807418158,3.87612056555503
"5",6,12,1.61018704163441,0.805093520817207,0.438721775434789,0.550007044298321,1.02058493789884,1.47817615847352,2.0567834816791,3.12120931664034,3.52923737184237
"6",7,13,1.53703482034324,0.768517410171618,0.418790257187513,0.525019737870008,0.974218861602609,1.41102130834987,1.96334198916335,2.97941001710356,3.36890099691287
"7",8,14,1.48934919823389,0.744674599116947,0.405797530098312,0.508731302182895,0.943994281214897,1.36724518304181,1.90243043210068,2.8869755333144,3.26438277927958
"8",9,15,1.45474511747947,0.727372558739733,0.396369082748207,0.496911254148547,0.922061174877166,1.33547811136971,1.85822867177466,2.81989849415573,3.18853692295421
"9",10,16,0.71405223757343,0.5049111793096,0.0864750386526821,0.126873340930927,0.343201625866963,0.599213711823014,0.961340855160582,1.693683537051,1.98922221513056
"10",11,17,0.613823116091513,0.613823116091513,0.0155406557895234,0.0314850097955656,0.176585906156016,0.425469762281352,0.850939524562704,1.83884971912882,2.26431948141017
"11",12,18,1.22355967020348,1.22355967020348,0.0309778487875328,0.0627604063644814,0.351996181692555,0.848106935648399,1.6962138712968,3.66545719264764,4.51356412829604
"12",13,19,1.59824035391965,1.59824035391965,0.0404639423932813,0.0819790129756637,0.459785097291674,1.10781579517654,2.21563159035307,4.78790020913346,5.89571600430999
"13",14,20,1.87225844567472,1.87225844567472,0.0474014798245575,0.096034303623571,0.538615189817052,1.29775066289897,2.59550132579795,5.60878505014177,6.90653571304075
"14",15,21,2.10906021818024,2.10906021818024,0.0533967816311918,0.108180646652191,0.606738814491696,1.46188914386278,2.92377828772555,6.31817976247136,7.78006890633413
"15",16,22,6.96250199607827,4.0198024016691,1.43583529685954,1.89772611101839,4.0087752148929,6.20605009064466,9.09860239007211,14.6114918863935,16.7673007691901
"16",17,23,2.4812143226109,1.24060716130545,0.67604739368983,0.847532193815612,1.57266820554286,2.27779243088654,3.16939616410748,4.80962090742805,5.43837087772138
"17",18,24,1.6435652904125,0.821782645206248,0.447816224828668,0.561408373137518,1.04174107509006,1.50881789777436,2.0994194171071,3.18591018577262,3.60239642724917
"18",19,25,1.5180671369184,0.759033568459202,0.413622201841855,0.51854076416824,0.962196573812634,1.39360868689963,1.93911348840836,2.94264279150188,3.32732728189139
"19",20,26,1.46215184670909,0.731075923354547,0.398387167178007,0.499441241750093,0.926755782457153,1.34227760129008,1.86768970824984,2.83425580276621,3.20477112738166
"20",21,27,1.42635662738387,0.713178313691933,0.388634174657025,0.487214325080155,0.904067696695991,1.30941704631991,1.82196643888575,2.76486984376875,3.12631451177776
"21",22,28,1.40067966362798,0.70033983181399,0.381638066232676,0.478443598092068,0.88779286539836,1.2858452036305,1.78916779279854,2.71509725435793,3.07003527356533
"22",23,29,0.69052985666981,0.488278344262998,0.0836263691985311,0.122693866524357,0.33189584325669,0.579474353229206,0.929672267649192,1.63789004297262,1.92369305608017
"23",24,30,0.583005771395264,0.583005771395264,0.0147604281739181,0.0299042866618183,0.167720308566339,0.404108806692803,0.808217613385607,1.74652920503703,2.15063801172984
"24",25,31,1.11696493445338,1.11696493445338,0.0282791037356757,0.0572928112034885,0.321330787199517,0.774221095100687,1.54844219020137,3.34612790257012,4.12034899767081
"25",26,32,1.43565396298126,1.43565396298126,0.0363476113666444,0.0736394213618514,0.413011907394062,0.995119496700173,1.99023899340035,4.30083491055865,5.29595440725882
"26",27,33,1.67038687134051,1.67038687134051,0.0422905340680776,0.0856796455327681,0.480540356943483,1.15782395031402,2.31564790062804,5.00403185979563,6.16185581010965
